時間割コード,メジャー,履修区分ID
S1300520_S1,情報応用科目,必修
S1300550_S1,情報応用科目,必修
S1401870_S1,NC,選択
S1405850_S1,IS,必修
S1405850_S1,NC,必修
S1405850_S1,XD,必修
S1407400_S1,IS,選択必修
S1407400_S1,XD,選択
S1407410_S1,IS,選択必修
S1407410_S1,XD,選択
S1407610_S1,IS,必修
S1407610_S1,NC,必修
S1407610_S1,XD,必修
S1407620_S1,IS,必修
S1407620_S1,NC,必修
S1407620_S1,XD,必修
S1408230_S1,IS,必修
S1408230_S1,NC,必修
S1408230_S1,XD,必修
S1408240_S1,IS,選択
S1408250_S1,IS,必修
S1408250_S1,NC,必修
S1408250_S1,XD,必修
S1408260_S1,IS,必修
S1408260_S1,NC,必修
S1408260_S1,XD,必修
S1408450_S1,NC,必修
S1408480_S1,XD,選択
