時間割コード,学年名
S1300520_S1,2
S1300520_S1,3
S1300520_S1,4
S1300550_S1,2
S1300550_S1,3
S1300550_S1,4
S1401870_S1,2
S1401870_S1,3
S1401870_S1,4
S1405850_S1,2
S1405850_S1,3
S1405850_S1,4
S1407400_S1,2
S1407400_S1,3
S1407400_S1,4
S1407410_S1,2
S1407410_S1,3
S1407410_S1,4
S1407610_S1,2
S1407610_S1,3
S1407610_S1,4
S1407620_S1,2
S1407620_S1,3
S1407620_S1,4
S1408230_S1,2
S1408230_S1,3
S1408230_S1,4
S1408240_S1,2
S1408240_S1,3
S1408240_S1,4
S1408250_S1,2
S1408250_S1,3
S1408250_S1,4
S1408260_S1,2
S1408260_S1,3
S1408260_S1,4
S1408450_S1,2
S1408450_S1,3
S1408450_S1,4
S1408480_S1,2
S1408480_S1,3
S1408480_S1,4
